transaction_id,user_id,timestamp,amount,merchant_id,category,location_id,device_id,payment_method,transaction_status,refund_flag,chargeback_flag
T000430,U0066,2024-03-29 08:11:28,67959.0,M0036,e-commerce,Bandung,D0151,e-wallet,completed,0,0
T000226,U0014,2024-04-19 08:21:32,152151.0,M0015,retail,Bali,D0014,bank_transfer,failed,0,0
T000155,U0069,2024-03-25 01:21:38,298582.0,M0042,e-commerce,Jakarta,D0069,credit_card,completed,0,0
T000079,U0110,2024-03-31 22:28:55,621558.0,M0012,retail,Palembang,D0110,debit_card,completed,0,0
T000074,U0065,2024-03-09 09:19:36,176803.0,M0013,transfer,Medan,D0065,credit_card,completed,0,0
T000034,U0005,2024-03-12 18:07:08,109674.0,M0029,gaming,Jakarta,D0005,bank_transfer,completed,0,0
T000117,U0016,2024-01-11 04:31:06,22376.0,M0032,travel,Jakarta,D0016,debit_card,completed,0,0
T000337,U0034,2024-04-02 18:31:47,235343.0,M0060,retail,Surabaya,D0034,credit_card,completed,0,0
T000077,U0009,2024-06-27 18:20:25,93850.0,M0073,e-commerce,Jakarta,D0009,e-wallet,completed,0,0
T000248,U0097,2024-02-13 22:10:33,39585.0,M0077,food_beverage,Surabaya,D0097,debit_card,completed,0,0
T000381,U0156,2024-01-01 08:22:57,918577.0,M0030,e-commerce,Semarang,D0156,credit_card,completed,1,1
T000016,U0126,2024-05-30 23:25:16,331584.0,M0039,bills,Bandung,D0126,credit_card,completed,0,0
T000240,U0063,2024-05-08 11:55:12,526038.0,M0072,bills,Bandung,D0063,debit_card,completed,0,0
T000343,U0034,2024-05-31 08:05:13,563139.0,M0034,e-commerce,Surabaya,D0034,credit_card,completed,0,0
T000001,U0185,2024-04-17 07:48:12,46695.0,M0040,food_beverage,Yogyakarta,D0160,credit_card,failed,0,0
T000020,U0008,2024-03-12 12:53:57,28904.0,M0050,entertainment,Yogyakarta,D0008,credit_card,completed,0,0
T000279,U0160,2024-06-25 04:13:36,38445.0,M0061,entertainment,Yogyakarta,D0160,debit_card,completed,0,0
T000287,U0121,2024-05-31 05:28:07,113910.0,M0003,bills,Medan,D0121,e-wallet,completed,0,0
T000057,U0111,2024-01-04 22:22:00,488580.0,M0069,travel,Bandung,D0111,bank_transfer,completed,0,0
T000176,U0078,2024-06-02 05:37:21,653646.0,M0013,transfer,Semarang,D0078,debit_card,completed,0,0
T000083,U0009,2024-01-08 01:19:35,94964.0,M0005,transfer,Jakarta,D0009,credit_card,completed,0,0
T000362,U0078,2024-06-18 08:16:33,865478.0,M0012,retail,Semarang,D0078,credit_card,completed,0,0
T000286,U0184,2024-03-07 03:44:46,89453.0,M0034,e-commerce,Surabaya,D0160,e-wallet,completed,0,0
T000080,U0085,2024-06-03 20:11:05,227757.0,M0066,food_beverage,Jakarta,D0085,e-wallet,completed,0,0
T000091,U0148,2024-06-04 02:12:05,320964.0,M0009,e-commerce,Bandung,D0148,debit_card,completed,0,0
T000369,U0078,2024-05-12 13:11:39,963594.0,M0079,retail,Semarang,D0078,credit_card,completed,0,0
T000026,U0171,2024-02-25 08:23:46,346913.0,M0039,bills,Jakarta,D0160,credit_card,completed,0,0
T000181,U0192,2024-03-24 18:23:54,65122.0,M0014,travel,Jakarta,D0160,bank_transfer,completed,0,0
T000250,U0166,2024-05-20 01:36:12,434294.0,M0028,food_beverage,Surabaya,D0160,credit_card,completed,0,0
T000154,U0070,2024-02-13 16:16:10,268704.0,M0048,e-commerce,Surabaya,D0070,e-wallet,completed,0,0
T000043,U0023,2024-02-22 11:02:21,480521.0,M0058,transfer,Depok,D0023,bank_transfer,completed,0,0
T000196,U0133,2024-02-28 17:13:05,293682.0,M0050,entertainment,Bandung,D0133,e-wallet,completed,0,0
T000422,U0071,2024-04-05 23:45:00,5300000.0,M0057,transfer,Jakarta,D0141,bank_transfer,completed,1,0
T000105,U0155,2024-05-06 09:29:42,204457.0,M0060,retail,Jakarta,D0155,credit_card,completed,0,0
T000413,U0057,2024-04-17 09:28:10,4181651.0,M0058,transfer,Bandung,D0057,bank_transfer,completed,0,0
T000425,U0041,2024-03-18 13:01:45,126330.0,M0019,bills,Surabaya,D0150,e-wallet,completed,0,0
T000281,U0153,2024-01-14 08:12:18,165424.0,M0061,entertainment,Jakarta,D0153,debit_card,completed,0,0
T000023,U0050,2024-05-24 02:05:11,122357.0,M0038,gaming,Jakarta,D0050,debit_card,completed,0,0
T000047,U0025,2024-03-28 04:02:01,125245.0,M0059,gaming,Yogyakarta,D0025,debit_card,failed,0,0
T000174,U0111,2024-01-25 11:24:05,287339.0,M0016,e-commerce,Bandung,D0111,bank_transfer,completed,0,0
T000114,U0100,2024-02-05 20:37:24,163584.0,M0057,transfer,Depok,D0100,bank_transfer,completed,0,0
T000095,U0157,2024-01-31 18:23:12,345069.0,M0001,entertainment,Jakarta,D0157,debit_card,pending,0,0
T000383,U0156,2024-06-14 13:01:08,707340.0,M0012,retail,Semarang,D0156,credit_card,completed,1,1
T000058,U0077,2024-06-10 15:25:11,476307.0,M0033,e-commerce,Jakarta,D0077,e-wallet,completed,0,0
T000125,U0175,2024-05-03 10:09:20,707465.0,M0060,retail,Jakarta,D0160,debit_card,completed,0,0
T000025,U0028,2024-05-21 16:56:25,335700.0,M0030,e-commerce,Bali,D0028,e-wallet,completed,0,0
T000018,U0113,2024-03-19 06:50:51,110242.0,M0075,food_beverage,Surabaya,D0113,e-wallet,completed,0,0
T000067,U0194,2024-03-24 23:16:42,104895.0,M0038,gaming,Bali,D0160,credit_card,completed,0,0
T000133,U0060,2024-06-05 09:41:12,258500.0,M0027,entertainment,Jakarta,D0060,debit_card,completed,0,0
T000355,U0078,2024-01-25 21:32:41,792527.0,M0047,retail,Semarang,D0078,credit_card,completed,1,0
T000032,U0019,2024-02-24 12:56:08,352147.0,M0027,entertainment,Bali,D0019,bank_transfer,completed,0,0
T000085,U0098,2024-04-03 23:15:44,90714.0,M0023,transfer,Jakarta,D0098,bank_transfer,completed,0,0
T000298,U0198,2024-01-28 17:04:04,143456.0,M0077,food_beverage,Makassar,D0160,debit_card,completed,0,0
T000272,U0115,2024-06-22 14:12:52,155374.0,M0039,bills,Bandung,D0115,e-wallet,completed,0,0
T000230,U0052,2024-01-28 22:17:43,117640.0,M0059,gaming,Jakarta,D0052,e-wallet,completed,0,0
T000420,U0191,2024-01-26 22:40:43,14723099.0,M0057,transfer,Palembang,D0160,bank_transfer,completed,0,0
T000303,U0023,2024-03-15 10:20:00,4200000.0,M0078,transfer,Singapore,D0099,credit_card,completed,1,0
T000212,U0064,2024-03-15 03:44:29,64603.0,M0026,e-commerce,Yogyakarta,D0064,debit_card,completed,0,0
T000166,U0129,2024-01-03 04:44:24,208403.0,M0063,transfer,Jakarta,D0129,e-wallet,completed,0,0
T000006,U0150,2024-01-28 22:48:50,635826.0,M0030,e-commerce,Jakarta,D0150,debit_card,completed,0,0
T000046,U0045,2024-04-22 04:03:39,332117.0,M0049,gaming,Bali,D0045,debit_card,completed,0,0
T000359,U0078,2024-04-23 14:57:18,761397.0,M0024,retail,Semarang,D0078,credit_card,completed,1,0
T000263,U0113,2024-06-08 02:14:26,98763.0,M0007,food_beverage,Surabaya,D0113,e-wallet,completed,0,0
T000375,U0078,2024-01-06 02:35:08,927851.0,M0030,e-commerce,Semarang,D0078,credit_card,completed,0,0
T000384,U0156,2024-03-24 21:59:25,937509.0,M0026,e-commerce,Semarang,D0156,credit_card,completed,1,0
T000017,U0190,2024-01-26 08:24:02,612307.0,M0019,bills,Jakarta,D0160,credit_card,completed,0,0
T000402,U0156,2024-01-26 03:10:13,880745.0,M0060,retail,Semarang,D0156,credit_card,completed,0,0
T000132,U0125,2024-04-17 04:50:32,137944.0,M0002,food_beverage,Jakarta,D0125,e-wallet,completed,0,0
T000311,U0045,2024-02-14 01:04:00,500000.0,M0062,transfer,Jakarta,D0045,e-wallet,completed,0,0
T000004,U0086,2024-03-17 22:33:18,314002.0,M0027,entertainment,Jakarta,D0086,bank_transfer,completed,0,0
T000019,U0053,2024-01-01 18:42:15,196211.0,M0041,transfer,Palembang,D0053,credit_card,completed,0,0
T000138,U0166,2024-04-06 08:48:43,625384.0,M0072,bills,Surabaya,D0160,debit_card,completed,0,0
T000061,U0096,2024-04-20 11:35:43,84401.0,M0027,entertainment,Medan,D0096,bank_transfer,completed,0,0
T000211,U0050,2024-02-09 00:26:20,87916.0,M0040,food_beverage,Jakarta,D0050,debit_card,completed,0,0
T000118,U0018,2024-03-31 14:52:14,172225.0,M0025,retail,Jakarta,D0018,e-wallet,completed,0,0
T000064,U0102,2024-06-24 14:33:20,529661.0,M0049,gaming,Jakarta,D0102,bank_transfer,completed,0,0
T000111,U0175,2024-04-04 10:19:35,327902.0,M0037,transfer,Jakarta,D0160,e-wallet,failed,0,0
T000276,U0069,2024-06-09 08:18:01,353447.0,M0065,food_beverage,Jakarta,D0069,debit_card,completed,0,0
T000205,U0064,2024-05-06 08:56:18,96207.0,M0046,food_beverage,Yogyakarta,D0064,e-wallet,completed,0,0
T000030,U0183,2024-06-15 03:11:01,576148.0,M0060,retail,Bandung,D0160,bank_transfer,completed,0,0
T000302,U0023,2024-03-15 10:17:00,8500000.0,M0062,transfer,Singapore,D0099,credit_card,completed,1,0
T000209,U0048,2024-03-21 23:26:11,96472.0,M0017,entertainment,Depok,D0048,debit_card,completed,0,0
T000353,U0078,2024-04-30 13:32:11,871798.0,M0073,e-commerce,Semarang,D0078,credit_card,completed,1,1
T000027,U0022,2024-06-07 16:17:23,352673.0,M0063,transfer,Surabaya,D0022,e-wallet,completed,0,0
T000008,U0142,2024-05-07 14:38:32,412632.0,M0008,e-commerce,Bandung,D0142,e-wallet,completed,0,0
T000142,U0127,2024-01-03 05:51:12,360801.0,M0063,transfer,Surabaya,D0127,debit_card,completed,0,0
T000395,U0156,2024-03-26 21:21:31,841580.0,M0071,retail,Semarang,D0156,credit_card,completed,0,0
T000109,U0038,2024-06-24 22:40:22,270771.0,M0019,bills,Bandung,D0038,debit_card,completed,0,0
T000102,U0098,2024-03-07 16:05:13,130040.0,M0021,transfer,Jakarta,D0098,credit_card,completed,0,0
T000432,U0155,2024-06-28 20:14:38,383377.0,M0039,bills,Jakarta,D0151,e-wallet,completed,0,0
T000406,U0156,2024-03-31 01:59:46,162032.0,M0048,e-commerce,Semarang,D0156,credit_card,completed,0,0
T000119,U0020,2024-05-04 00:34:20,346086.0,M0007,food_beverage,Medan,D0020,debit_card,completed,0,0
T000115,U0062,2024-05-04 20:19:31,345616.0,M0051,travel,Bandung,D0062,bank_transfer,completed,0,0
T000385,U0156,2024-06-27 15:03:35,827465.0,M0045,e-commerce,Semarang,D0156,credit_card,completed,1,0
T000421,U0033,2024-03-10 22:15:00,7800000.0,M0070,transfer,Surabaya,D0140,bank_transfer,completed,1,0
T000322,U0034,2024-05-08 10:35:13,466306.0,M0024,retail,Surabaya,D0034,credit_card,completed,1,1
T000332,U0034,2024-05-15 23:41:59,305531.0,M0016,e-commerce,Surabaya,D0034,credit_card,completed,0,0
T000312,U0045,2024-02-14 01:05:00,500000.0,M0037,transfer,Jakarta,D0045,e-wallet,completed,0,0
T000428,U0177,2024-04-29 17:04:40,50284.0,M0015,retail,Surabaya,D0150,e-wallet,completed,0,0
T000387,U0156,2024-04-30 01:26:29,533956.0,M0033,e-commerce,Semarang,D0156,credit_card,completed,1,0
T000319,U0089,2024-05-20 03:19:00,500000.0,M0013,transfer,Surabaya,D0089,e-wallet,completed,0,0
T000219,U0038,2024-05-01 20:56:17,197721.0,M0066,food_beverage,Bandung,D0038,credit_card,completed,0,0
T000339,U0034,2024-06-22 23:42:56,424376.0,M0024,retail,Surabaya,D0034,credit_card,completed,0,0
T000185,U0065,2024-02-27 12:11:08,126925.0,M0008,e-commerce,Medan,D0065,credit_card,completed,0,0
T000110,U0015,2024-01-01 21:06:00,151985.0,M0027,entertainment,Makassar,D0015,e-wallet,completed,0,0
T000197,U0038,2024-04-03 17:39:52,612360.0,M0002,food_beverage,Bandung,D0038,credit_card,completed,0,0
T000146,U0007,2024-04-28 13:18:08,187470.0,M0025,retail,Yogyakarta,D0007,bank_transfer,completed,0,0
T000200,U0057,2024-05-28 08:01:46,123502.0,M0003,bills,Bandung,D0057,bank_transfer,completed,0,0
T000328,U0034,2024-04-02 10:43:34,99575.0,M0073,e-commerce,Surabaya,D0034,credit_card,completed,1,0
T000173,U0090,2024-05-24 17:04:57,90446.0,M0051,travel,Bandung,D0090,e-wallet,completed,0,0
T000084,U0181,2024-06-18 13:55:30,478299.0,M0003,bills,Makassar,D0160,bank_transfer,failed,0,0
T000256,U0176,2024-06-25 07:31:55,89863.0,M0036,e-commerce,Jakarta,D0160,e-wallet,completed,0,0
T000335,U0034,2024-02-29 04:08:17,98615.0,M0080,retail,Surabaya,D0034,credit_card,completed,0,0
T000075,U0079,2024-01-19 03:38:54,388300.0,M0027,entertainment,Medan,D0079,bank_transfer,completed,0,0
T000210,U0158,2024-01-18 15:44:03,597607.0,M0019,bills,Semarang,D0158,bank_transfer,completed,0,0
T000158,U0042,2024-01-20 04:12:48,191366.0,M0064,food_beverage,Bali,D0042,debit_card,completed,0,0
T000120,U0178,2024-02-25 07:00:28,131725.0,M0044,food_beverage,Depok,D0160,credit_card,completed,0,0
T000326,U0034,2024-05-24 00:56:00,292669.0,M0076,retail,Surabaya,D0034,credit_card,completed,1,0
T000266,U0181,2024-04-22 04:02:24,471685.0,M0065,food_beverage,Makassar,D0160,e-wallet,completed,0,0
T000410,U0156,2024-06-07 12:14:26,339888.0,M0068,e-commerce,Semarang,D0156,credit_card,completed,0,0
T000245,U0064,2024-06-17 22:38:20,27156.0,M0038,gaming,Yogyakarta,D0064,bank_transfer,completed,0,0
T000341,U0034,2024-05-07 12:10:00,93042.0,M0016,e-commerce,Surabaya,D0034,credit_card,completed,0,0
T000193,U0111,2024-05-02 00:28:58,225654.0,M0067,e-commerce,Bandung,D0111,bank_transfer,completed,0,0
T000177,U0068,2024-01-12 02:18:17,276985.0,M0021,transfer,Surabaya,D0068,credit_card,completed,0,0
T000334,U0034,2024-06-16 22:34:16,140793.0,M0008,e-commerce,Surabaya,D0034,credit_card,completed,0,0
T000235,U0136,2024-01-24 23:46:52,36425.0,M0059,gaming,Jakarta,D0136,debit_card,completed,0,0
T000037,U0013,2024-06-09 17:43:37,190729.0,M0001,entertainment,Medan,D0013,bank_transfer,completed,0,0
T000140,U0047,2024-04-23 08:02:09,355058.0,M0059,gaming,Surabaya,D0047,e-wallet,completed,0,0
T000318,U0089,2024-05-20 03:18:00,500000.0,M0070,transfer,Surabaya,D0089,e-wallet,completed,0,0
T000223,U0012,2024-05-13 01:11:22,335798.0,M0019,bills,Palembang,D0012,credit_card,completed,0,0
T000291,U0011,2024-02-06 18:28:54,165506.0,M0007,food_beverage,Surabaya,D0011,credit_card,completed,0,0
T000238,U0018,2024-04-12 07:44:06,127187.0,M0008,e-commerce,Jakarta,D0018,bank_transfer,completed,0,0
T000060,U0185,2024-02-10 14:51:45,97942.0,M0011,e-commerce,Yogyakarta,D0160,bank_transfer,completed,0,0
T000112,U0088,2024-03-10 15:03:54,27874.0,M0042,e-commerce,Bandung,D0088,debit_card,completed,0,0
T000194,U0002,2024-04-17 13:36:53,224321.0,M0067,e-commerce,Surabaya,D0002,e-wallet,completed,0,0
T000371,U0078,2024-02-20 06:19:11,553759.0,M0011,e-commerce,Semarang,D0078,credit_card,completed,0,0
T000007,U0034,2024-03-05 17:46:24,93795.0,M0078,transfer,Surabaya,D0034,debit_card,completed,0,0
T000407,U0156,2024-02-03 14:29:49,247979.0,M0042,e-commerce,Semarang,D0156,credit_card,completed,0,0
T000300,U0163,2024-04-25 12:43:07,219442.0,M0020,transfer,Jakarta,D0160,debit_card,completed,0,0
T000159,U0079,2024-05-25 20:28:07,432256.0,M0069,travel,Bandung,D0079,bank_transfer,completed,0,0
T000151,U0099,2024-04-21 04:04:46,111851.0,M0007,food_beverage,Jakarta,D0099,debit_card,completed,0,0
T000178,U0200,2024-01-31 00:01:50,38381.0,M0055,e-commerce,Surabaya,D0160,bank_transfer,completed,0,0
T000011,U0181,2024-06-17 07:56:04,457499.0,M0021,transfer,Makassar,D0160,e-wallet,failed,0,0
T000232,U0035,2024-04-16 19:53:11,321961.0,M0030,e-commerce,Bandung,D0035,debit_card,completed,0,0
T000104,U0200,2024-04-16 08:11:04,57887.0,M0080,retail,Surabaya,D0160,e-wallet,completed,0,0
T000082,U0007,2024-05-09 17:34:10,343038.0,M0041,transfer,Yogyakarta,D0007,e-wallet,completed,0,0
T000247,U0148,2024-06-02 06:49:17,321723.0,M0075,food_beverage,Bandung,D0148,debit_card,completed,0,0
T000273,U0195,2024-04-08 08:19:06,120955.0,M0027,entertainment,Jakarta,D0160,e-wallet,completed,0,0
T000168,U0034,2024-03-01 11:18:13,188761.0,M0007,food_beverage,Surabaya,D0034,credit_card,completed,0,0
T000408,U0156,2024-04-20 02:27:30,236477.0,M0036,e-commerce,Semarang,D0156,credit_card,completed,0,0
T000249,U0055,2024-03-02 13:33:49,450482.0,M0035,travel,Semarang,D0055,credit_card,completed,0,0
T000389,U0156,2024-02-26 07:15:40,432059.0,M0015,retail,Semarang,D0156,credit_card,completed,1,0
T000348,U0034,2024-01-28 18:53:53,359281.0,M0026,e-commerce,Surabaya,D0034,credit_card,completed,0,0
T000195,U0148,2024-02-14 06:39:36,114354.0,M0026,e-commerce,Medan,D0148,credit_card,completed,0,0
T000090,U0153,2024-06-28 23:06:19,51510.0,M0061,entertainment,Jakarta,D0153,bank_transfer,completed,0,0
T000228,U0152,2024-02-01 10:53:12,69151.0,M0022,e-commerce,Makassar,D0152,bank_transfer,completed,0,0
T000164,U0175,2024-05-27 00:37:04,367415.0,M0003,bills,Jakarta,D0160,e-wallet,completed,0,0
T000358,U0078,2024-05-04 03:14:50,1127543.0,M0080,retail,Semarang,D0078,credit_card,completed,1,0
T000148,U0110,2024-02-05 05:27:53,152207.0,M0067,e-commerce,Palembang,D0110,debit_card,completed,0,0
T000003,U0181,2024-06-03 23:27:31,398020.0,M0019,bills,Makassar,D0160,bank_transfer,completed,0,0
T000093,U0152,2024-03-16 14:40:36,70251.0,M0077,food_beverage,Makassar,D0152,credit_card,completed,0,0
T000070,U0029,2024-06-02 01:43:05,254147.0,M0078,transfer,Jakarta,D0029,debit_card,pending,0,0
T000239,U0021,2024-02-11 06:46:37,255880.0,M0009,e-commerce,Yogyakarta,D0021,e-wallet,completed,0,0
T000124,U0003,2024-05-16 07:21:01,322488.0,M0032,travel,Makassar,D0003,credit_card,completed,0,0
T000321,U0034,2024-06-23 02:25:59,186906.0,M0031,retail,Surabaya,D0034,credit_card,completed,1,1
T000097,U0024,2024-04-29 23:44:37,45856.0,M0016,e-commerce,Bandung,D0024,credit_card,completed,0,0
T000144,U0106,2024-06-20 22:48:27,210935.0,M0066,food_beverage,Semarang,D0106,credit_card,completed,0,0
T000330,U0034,2024-02-26 00:46:47,160149.0,M0015,retail,Surabaya,D0034,credit_card,completed,1,0
T000221,U0091,2024-06-12 02:24:05,203709.0,M0068,e-commerce,Jakarta,D0091,bank_transfer,completed,0,0
T000098,U0179,2024-03-21 02:53:51,298370.0,M0016,e-commerce,Makassar,D0160,e-wallet,completed,0,0
T000391,U0156,2024-05-26 15:54:20,700289.0,M0042,e-commerce,Semarang,D0156,credit_card,completed,0,0
T000069,U0052,2024-01-17 00:01:10,140239.0,M0003,bills,Jakarta,D0052,credit_card,completed,0,0
T000024,U0056,2024-03-13 18:29:44,114380.0,M0010,food_beverage,Yogyakarta,D0056,debit_card,completed,0,0
T000038,U0129,2024-06-15 20:43:21,193006.0,M0002,food_beverage,Jakarta,D0129,credit_card,completed,0,0
T000145,U0175,2024-05-02 18:34:52,511043.0,M0050,entertainment,Jakarta,D0160,bank_transfer,completed,0,0
T000123,U0113,2024-06-28 09:57:59,139158.0,M0065,food_beverage,Surabaya,D0113,credit_card,completed,0,0
T000251,U0160,2024-03-05 11:50:35,69549.0,M0021,transfer,Yogyakarta,D0160,bank_transfer,completed,0,0
T000203,U0165,2024-06-26 05:49:57,194791.0,M0055,e-commerce,Bandung,D0160,bank_transfer,completed,0,0
T000183,U0075,2024-01-12 14:55:23,140580.0,M0061,entertainment,Jakarta,D0075,debit_card,completed,0,0
T000068,U0035,2024-02-13 17:56:34,341810.0,M0019,bills,Surabaya,D0035,bank_transfer,failed,0,0
T000315,U0089,2024-05-20 03:15:00,500000.0,M0005,transfer,Surabaya,D0089,e-wallet,completed,0,0
T000379,U0078,2024-02-06 20:49:35,244941.0,M0034,e-commerce,Semarang,D0078,credit_card,completed,0,0
T000414,U0057,2024-06-20 09:24:14,2698084.0,M0020,transfer,Bandung,D0057,bank_transfer,completed,0,0
T000305,U0067,2024-04-22 02:18:00,6750000.0,M0057,transfer,Singapore,D0101,credit_card,completed,1,0
T000394,U0156,2024-04-09 00:14:18,801499.0,M0045,e-commerce,Semarang,D0156,credit_card,completed,0,0
T000403,U0156,2024-04-16 02:03:32,528946.0,M0031,retail,Semarang,D0156,credit_card,completed,0,0
T000404,U0156,2024-01-07 12:29:31,517440.0,M0008,e-commerce,Semarang,D0156,credit_card,completed,0,0
T000126,U0066,2024-04-05 12:03:08,109175.0,M0030,e-commerce,Makassar,D0066,credit_card,completed,0,0
T000147,U0075,2024-05-06 02:34:23,266473.0,M0069,travel,Jakarta,D0075,e-wallet,completed,0,0
T000333,U0034,2024-02-17 08:37:44,202981.0,M0073,e-commerce,Surabaya,D0034,credit_card,completed,0,0
T000262,U0031,2024-02-28 08:14:22,330491.0,M0011,e-commerce,Yogyakarta,D0031,debit_card,completed,0,0
T000224,U0061,2024-02-03 16:35:12,153799.0,M0002,food_beverage,Semarang,D0061,credit_card,completed,0,0
T000229,U0052,2024-02-05 07:12:28,195327.0,M0009,e-commerce,Jakarta,D0052,bank_transfer,completed,0,0
T000087,U0055,2024-03-10 17:10:07,361638.0,M0028,food_beverage,Semarang,D0055,credit_card,completed,0,0
T000366,U0078,2024-05-23 21:35:56,452405.0,M0030,e-commerce,Semarang,D0078,credit_card,completed,0,0
T000220,U0159,2024-02-04 22:25:29,244012.0,M0041,transfer,Yogyakarta,D0159,bank_transfer,pending,0,0
T000246,U0039,2024-01-16 11:39:44,188616.0,M0028,food_beverage,Jakarta,D0039,debit_card,completed,0,0
T000374,U0078,2024-05-07 19:55:27,208545.0,M0067,e-commerce,Semarang,D0078,credit_card,completed,0,0
T000380,U0078,2024-01-22 16:45:17,1318838.0,M0080,retail,Semarang,D0078,credit_card,completed,0,0
T000284,U0048,2024-01-24 12:49:42,48684.0,M0078,transfer,Jakarta,D0048,e-wallet,completed,0,0
T000411,U0019,2024-06-22 14:00:38,7626432.0,M0006,transfer,Bali,D0019,bank_transfer,completed,0,0
T000184,U0083,2024-06-19 01:22:58,311362.0,M0003,bills,Bali,D0083,bank_transfer,completed,0,0
T000392,U0156,2024-04-05 23:49:07,409444.0,M0071,retail,Semarang,D0156,credit_card,completed,0,0
T000415,U0103,2024-03-12 16:04:55,10893220.0,M0021,transfer,Jakarta,D0103,bank_transfer,completed,0,0
T000405,U0156,2024-03-03 00:38:14,651209.0,M0011,e-commerce,Semarang,D0156,credit_card,completed,0,0
