device_id,device_type,operating_system,first_seen,last_seen
D0063,Mobile,Android,2023-05-23 15:25:48,2024-06-30 00:00:00
D0064,Tablet,Windows,2022-06-20 15:14:50,2023-03-26 15:14:50
D0065,Tablet,iOS,2020-06-14 12:01:33,2021-05-20 12:01:33
D0066,Mobile,iOS,2023-12-01 02:03:28,2024-05-21 02:03:28
D0067,Mobile,Android,2023-10-01 08:03:29,2024-06-30 00:00:00
D0068,Mobile,Windows,2023-06-16 14:09:48,2024-01-04 14:09:48
D0069,Mobile,Android,2020-06-06 23:34:42,2021-06-18 23:34:42
D0070,Mobile,Android,2020-11-19 08:33:33,2021-06-26 08:33:33
D0071,Mobile,Windows,2023-03-22 09:01:07,2024-01-10 09:01:07
D0072,Mobile,Android,2020-02-06 14:34:59,2021-02-08 14:34:59
D0073,Mobile,Android,2024-03-29 03:12:03,2024-06-30 00:00:00
D0074,Mobile,iOS,2021-08-19 15:25:45,2022-11-18 15:25:45
D0075,Mobile,Android,2023-02-11 22:51:29,2023-09-26 22:51:29
D0076,Mobile,Android,2023-11-05 03:17:56,2024-06-30 00:00:00
D0077,Mobile,Android,2021-09-16 07:18:27,2022-03-25 07:18:27
D0078,Mobile,Android,2021-05-19 20:49:20,2021-12-26 20:49:20
D0079,Tablet,iOS,2022-08-21 00:40:59,2023-04-14 00:40:59
D0080,Desktop,iOS,2022-07-08 03:00:16,2022-10-05 03:00:16
D0081,Mobile,Android,2021-10-09 06:13:36,2021-12-21 06:13:36
D0082,Mobile,Android,2022-08-10 00:11:02,2023-07-19 00:11:02
D0083,Mobile,Android,2024-01-19 18:33:35,2024-06-30 00:00:00
D0084,Desktop,iOS,2022-01-09 19:21:54,2022-12-16 19:21:54
D0085,Desktop,Windows,2020-11-07 05:54:25,2020-12-16 05:54:25
D0086,Tablet,Windows,2021-08-19 17:45:24,2022-02-18 17:45:24
D0087,Mobile,Android,2021-09-15 11:27:14,2022-01-15 11:27:14
D0088,Mobile,Android,2020-07-26 09:56:05,2021-08-25 09:56:05
D0089,Mobile,Android,2020-09-14 15:54:18,2021-11-22 15:54:18
D0090,Mobile,iOS,2022-12-18 23:27:10,2023-05-12 23:27:10
D0091,Mobile,Android,2021-06-21 01:17:28,2022-05-30 01:17:28
D0092,Tablet,iOS,2024-02-19 15:34:55,2024-05-19 15:34:55
D0093,Mobile,iOS,2021-01-20 08:52:52,2021-06-28 08:52:52
D0094,Tablet,Android,2020-06-05 11:57:56,2020-09-08 11:57:56
D0095,Mobile,Android,2023-04-07 01:03:40,2023-09-17 01:03:40
D0096,Mobile,Android,2023-10-25 19:10:36,2024-06-30 00:00:00
D0097,Mobile,Android,2021-03-15 23:24:28,2022-06-15 23:24:28
D0098,Tablet,Android,2020-11-15 16:52:51,2021-03-20 16:52:51
D0099,Mobile,iOS,2020-10-20 21:10:06,2021-07-31 21:10:06
D0100,Mobile,Android,2022-04-05 19:45:47,2023-03-30 19:45:47
D0101,Mobile,Android,2022-01-11 00:50:34,2023-05-03 00:50:34
D0102,Mobile,iOS,2021-02-14 10:24:42,2021-12-27 10:24:42
D0103,Mobile,iOS,2020-03-12 11:07:58,2020-08-08 11:07:58
D0104,Desktop,Android,2022-01-31 17:15:47,2022-12-20 17:15:47
D0105,Mobile,iOS,2024-02-26 15:55:50,2024-06-30 00:00:00
D0106,Mobile,Windows,2022-10-29 06:50:56,2024-02-29 06:50:56
D0107,Mobile,iOS,2022-02-22 21:23:34,2022-09-27 21:23:34
D0108,Desktop,iOS,2020-06-24 02:45:24,2021-06-11 02:45:24
D0109,Mobile,Android,2021-02-03 08:30:03,2021-03-15 08:30:03
D0110,Mobile,Windows,2021-04-11 07:58:38,2021-11-15 07:58:38
D0111,Mobile,Android,2023-04-24 22:03:40,2024-06-30 00:00:00
D0112,Desktop,Windows,2023-10-18 22:57:19,2024-06-30 00:00:00
D0113,Desktop,iOS,2023-11-27 09:32:16,2024-06-30 00:00:00
D0114,Mobile,Android,2024-04-06 14:06:03,2024-06-30 00:00:00
D0115,Mobile,Android,2024-04-03 02:29:53,2024-06-30 00:00:00
D0116,Mobile,iOS,2024-02-16 15:28:15,2024-06-30 00:00:00
D0117,Mobile,iOS,2020-04-23 14:56:34,2021-02-02 14:56:34
D0118,Mobile,Android,2020-08-05 23:44:41,2021-04-22 23:44:41
D0119,Desktop,iOS,2021-04-26 15:59:06,2022-03-19 15:59:06
D0120,Mobile,iOS,2022-05-24 16:26:27,2022-11-27 16:26:27
D0121,Desktop,Android,2020-06-02 10:03:23,2020-10-24 10:03:23
D0122,Desktop,Android,2023-08-31 01:13:08,2024-06-30 00:00:00
D0123,Tablet,Android,2022-09-02 16:59:54,2023-12-10 16:59:54
D0124,Mobile,iOS,2022-05-08 00:29:29,2023-07-08 00:29:29
D0125,Desktop,Android,2020-09-18 12:32:25,2022-01-20 12:32:25
D0126,Mobile,iOS,2021-02-04 15:36:13,2022-02-19 15:36:13
D0127,Mobile,Android,2020-09-10 14:43:37,2021-10-04 14:43:37
D0128,Mobile,iOS,2023-09-09 18:11:53,2024-06-30 00:00:00
D0129,Mobile,Android,2022-07-13 05:57:48,2023-03-25 05:57:48
D0130,Mobile,Android,2023-03-08 23:23:38,2023-11-07 23:23:38
D0131,Mobile,iOS,2021-04-13 07:46:32,2021-09-02 07:46:32
D0132,Tablet,Android,2021-08-10 07:43:12,2022-07-09 07:43:12
D0133,Mobile,Android,2021-10-02 11:31:59,2022-03-16 11:31:59
D0134,Mobile,Windows,2023-04-17 08:14:54,2023-09-15 08:14:54
D0135,Desktop,Windows,2023-05-06 20:41:53,2024-03-06 20:41:53
D0136,Tablet,iOS,2020-11-23 04:17:45,2021-07-03 04:17:45
D0137,Tablet,Android,2024-01-29 12:20:50,2024-06-09 12:20:50
D0138,Mobile,iOS,2020-07-09 21:02:30,2021-08-26 21:02:30
D0139,Tablet,iOS,2023-11-18 15:57:47,2024-06-30 00:00:00
D0140,Desktop,Android,2020-06-07 19:49:18,2020-09-23 19:49:18
D0141,Mobile,Android,2021-02-22 12:02:51,2021-03-27 12:02:51
D0142,Mobile,iOS,2023-09-01 03:05:49,2024-03-06 03:05:49
D0143,Tablet,Android,2020-10-10 22:57:18,2021-11-18 22:57:18
D0144,Mobile,iOS,2021-10-16 06:20:49,2022-12-14 06:20:49
D0145,Mobile,Windows,2021-12-12 16:15:28,2022-03-17 16:15:28
D0146,Tablet,iOS,2021-01-22 23:59:33,2022-02-19 23:59:33
D0147,Tablet,Android,2023-01-28 14:35:23,2023-04-22 14:35:23
D0148,Tablet,Android,2023-09-08 19:28:26,2024-04-08 19:28:26
D0149,Tablet,Android,2023-10-15 13:52:08,2024-06-30 00:00:00
D0150,Tablet,Android,2021-06-20 19:22:59,2021-10-18 19:22:59
D0151,Mobile,iOS,2022-04-19 19:19:39,2022-07-30 19:19:39
D0152,Mobile,iOS,2021-01-27 23:29:39,2021-09-12 23:29:39
D0153,Desktop,Android,2021-01-22 06:26:00,2021-12-09 06:26:00
D0154,Mobile,Android,2020-09-12 02:29:39,2021-12-24 02:29:39
D0155,Mobile,iOS,2024-01-27 02:38:30,2024-06-30 00:00:00
D0156,Desktop,Android,2023-11-05 19:09:35,2024-01-06 19:09:35
D0157,Tablet,Android,2023-05-14 18:45:20,2023-08-16 18:45:20
D0158,Mobile,Android,2022-03-29 22:34:21,2023-05-04 22:34:21
D0159,Mobile,iOS,2022-02-15 03:24:04,2022-07-22 03:24:04
D0160,Desktop,Android,2022-04-18 01:23:00,2023-07-07 01:23:00
